geoid,0,2,3,4,5,6,7,8,9,10
14000US36005021800,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14000US36005026500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14000US36047016000,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
14000US36047054400,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0
14000US34035050500,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14000US34035053705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14000US36103158512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14000US36081126700,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0
14000US36047039100,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0
14000US36061004100,2.0,2.0,2.0,3.0,5.0,5.0,3.0,2.0,2.0,5.0
14000US36119002202,5.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,5.0
14000US36119006801,6.0,3.0,5.0,4.0,3.0,3.0,6.0,5.0,5.0,3.0
14000US36005036100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14000US36005023501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14000US34013021802,2.0,5.0,2.0,6.0,6.0,2.0,7.0,6.0,6.0,6.0
14000US34027040805,2.0,2.0,2.0,3.0,2.0,5.0,3.0,2.0,2.0,5.0
14000US34029717200,7.0,6.0,6.0,7.0,7.0,6.0,8.0,7.0,7.0,7.0
14000US34029717502,8.0,2.0,7.0,5.0,8.0,5.0,9.0,5.0,8.0,4.0
14000US36061021000,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14000US36061013100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14000US34003024200,9.0,4.0,8.0,5.0,8.0,7.0,9.0,8.0,8.0,4.0
14000US34003014000,10.0,7.0,9.0,1.0,9.0,1.0,10.0,1.0,1.0,1.0
14000US34029720203,11.0,8.0,10.0,8.0,10.0,8.0,11.0,9.0,9.0,8.0
